Brnd_Name,Gnrc_Name,Mftr_Name,Tot_Spndng_2018,Tot_Clms_2018,Tot_Benes_2018,Tot_Spndng_2019,Tot_Clms_2019,Tot_Benes_2019,Tot_Spndng_2020,Tot_Clms_2020,Tot_Benes_2020,Tot_Spndng_2021,Tot_Clms_2021,Tot_Benes_2021,Tot_Spndng_2022,Tot_Clms_2022,Tot_Benes_2022
Accupril,"Quinapril HCl","Pfizer US Pharm",2823256.85,7383,1640,2657878.87,6757,1518,2298518.54,5639,1311,1802400.49,4302,1045,320682.07,819,500
Accuretic,Quinapril/Hydrochlorothiazide,Overall,354071.71,932,229,311595.63,776,211,256406.1,643,169,162706.28,389,119,15221.02,43,36
Accuretic,Quinapril/Hydrochlorothiazide,"Pfizer US Pharm",354071.71,932,229,311595.63,776,211,256406.1,643,169,162706.28,389,119,15221.02,43,36
Accutane,Isotretinoin,Overall,"","","","","","","","","",21588.69,127,59,52272.27,309,121
Accutane,Isotretinoin,"Jg Pharma, Inc.","","","","","","","","","",21588.69,127,59,52272.27,309,121
"Acebutolol HCl","Acebutolol HCl",Overall,2081450.61,63359,21865,4386157.9,91112,21226,5556127.04,90017,20614,5108653.31,86113,20157,5166792.77,80943,19222
"Acebutolol HCl","Acebutolol HCl","Marlex Pharm.",913.47,34,16,2669.35,93,60,1765.9,40,22,5732.34,92,63,6163.19,100,51
"Acebutolol HCl","Acebutolol HCl","Ani Pharmaceuti","","","","","","","","","","","","",388628.46,5277,4420
"Acebutolol HCl","Acebutolol HCl","Amneal Pharmace",2080537.14,63325,15697,4383488.55,91019,20749,5554361.14,89977,20393,5102920.97,86021,20105,4772001.12,75566,19050
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,Overall,507947.64,2277,1070,581219.08,2783,1205,562256.15,2547,957,554132.58,2524,797,327966.86,1581,416
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,"Xspire Pharma",507947.64,2277,1070,581219.08,2783,1205,562256.15,2547,950,554132.58,2524,797,327966.86,1581,416
Acetaminophen,Acetaminophen,Overall,"","","","","","","","","",35876.64,120,82,59927.65,138,75
Acetaminophen,Acetaminophen,B.Braun,"","","","","","","","","",3561.32,18,"",1679.14,21,14
Acetaminophen,Acetaminophen,Leucadia/Hikma,"","","","","","","","","",10881.76,79,59,10468.59,48,41
Acetaminophen,Acetaminophen,Sandoz,"","","","","","","","","",21433.56,23,17,47779.92,69,24
Acetaminophen-Codeine,"Acetaminophen With Codeine",Overall,38181534.34,3347574,1535095,35248234.01,3199855,1417793,38098067.57,2973452,1260147,40726751.97,2763688,1210143,38694675.29,2604234,1146260
Acetaminophen-Codeine,"Acetaminophen With Codeine","Aurobindo Pharm",7076700.58,570830,296106,8184569.66,657547,308411,9482246.84,625824,281716,10973409.63,619101,290988,4427047.76,280493,166817
Acetaminophen-Codeine,"Acetaminophen With Codeine","Eywa Pharma Inc","","","",19972.21,1664,1315,1246576.17,117585,53545,1968597.94,204560,93658,3949328.55,440121,224877
Acetaminophen-Codeine,"Acetaminophen With Codeine","Pharm Assoc Inc",55356.05,6807,4595,45324.73,5933,4039,46508.96,5165,3374,52140.65,5700,3495,48525.72,5946,3851
Acetaminophen-Codeine,"Acetaminophen With Codeine","Qualitest/Par P",1270749.02,100054,58862,1908193.35,136897,66069,1289595.54,106659,57100,140276.42,10070,6447,7118.71,544,434
Acetaminophen-Codeine,"Acetaminophen With Codeine","Teva USA",7238730.21,637845,328208,4115440.23,358181,160564,1892066.79,140656,67222,504772.27,36945,19007,90684.85,8478,5345
Acetaminophen-Codeine,"Acetaminophen With Codeine","Amneal Pharmace",6794065.87,712431,407908,3590713.73,413784,241196,1297315.46,114629,60660,1214817.01,95455,51220,1937402.04,154936,95509
Acetaminophen-Codeine,"Acetaminophen With Codeine","Mallinckrodt Ph",15574389.35,1298824,654237,17256601.8,1609370,776859,22732317.68,1850142,828026,25772030.28,1780806,807498,28141007.11,1702914,765577
Acetaminophen-Codeine,"Acetaminophen With Codeine","Ranbaxy Pharmac",1428.87,60,28,245.99,15,"",843.18,37,14,898.84,27,13,1932.25,43,14
Acetaminophen-Codeine,"Acetaminophen With Codeine","Hi-Tech/Akorn C",170114.39,20723,13586,127172.31,16464,10576,110596.95,12755,7376,99808.93,11024,6442,91628.3,10759,6534
Acetazolamide,Acetazolamide,Overall,25178838.74,233605,86441,24060032.03,230972,88880,22200009.38,200885,66492,16599672.83,208405,76184,15734887.6,215885,86171
Acetazolamide,Acetazolamide,"Avet Pharmaceut",5917901.72,50658,21365,4646102.85,43272,19216,4973387.97,45067,15287,2925325.7,47435,18737,3085533.99,45221,19791
Acetazolamide,Acetazolamide,"Lannett Co. Inc",6754653.43,60028,25833,5107084.73,43016,17980,4411455.68,41121,15490,1351156.49,17489,9353,179467.72,2626,1302
Acetazolamide,Acetazolamide,Breckenridge,"","","","","","",11364.73,99,95,372212.71,4418,2219,63543.31,859,578
Acetazolamide,Acetazolamide,"Strides Pharma",1824542.64,17045,7608,4609348.39,45957,19593,4521544.65,44560,17838,4820758.76,63163,27023,5629783.31,80039,35541
Acetazolamide,Acetazolamide,"Lifestar Pharma","","","","","","","","","",1753686.99,19758,9015,1604797.47,26160,10622
Acetazolamide,Acetazolamide,AHP,6569.86,76,30,8149.46,73,27,5762.57,70,26,6345.1,30,21,2316.58,14,""
Acetazolamide,Acetazolamide,"Novitium/Ani Ph","","","","","","",295326.62,2399,1473,853683.62,8930,3837,766621.87,9438,4413
Acetazolamide,Acetazolamide,"Eywa Pharma Inc","","","","","","",387983.35,2089,1051,519906.75,5029,2040,1653421,18199,8896
Acetazolamide,Acetazolamide,"Advagen Pharma","","","","","","","","","","","","",159243.95,2631,1431
Acetazolamide,Acetazolamide,"Taro Pharm USA",10673310.8,105782,42709,9680020.96,98574,42168,7573661.59,65334,26958,3986926.05,42028,20895,2418744.05,27840,15461
Acetazolamide,Acetazolamide,"Marlex Pharm.",1860.29,16,11,768.52,15,"",1444.38,22,12,2305.64,31,"",794.13,17,12
Acetazolamide,Acetazolamide,"Major Pharmaceu","","","",8557.12,65,48,18077.84,124,81,6599.01,83,57,6744.14,90,49
Acetazolamide,Acetazolamide,"Trupharma, LLC.","","","","","","","","","",766.01,11,11,163876.08,2751,1562
"Acetazolamide ER",Acetazolamide,Overall,9373543.55,82398,34240,8965308.25,83564,34378,8532895.66,78686,28814,7358500.8,81962,32774,7706860.68,79286,32336
"Acetazolamide ER",Acetazolamide,"Nostrum Laborat",438464.49,4262,2038,1158141.13,11176,5372,1804322.51,17553,6806,1894527.56,19707,8601,2044573.48,21171,9191
"Acetazolamide ER",Acetazolamide,"Accord Healthca","","","","","","","","","","","","",1000732.32,7865,4388
"Acetazolamide ER",Acetazolamide,"Ingenus Pharmac",1874188.51,15245,6243,2851043.5,25874,10210,3907170.19,37129,13023,2420341.74,28639,12319,577071.75,7616,4108
"Acetazolamide ER",Acetazolamide,"Alembic Pharmac","","","","","","",1469.05,15,"",2024.98,18,"",1745.72,17,""
"Acetazolamide ER",Acetazolamide,"Avet Pharmaceut",3587559.57,33761,15291,4180410.02,38665,18826,2407328.07,20706,10429,1278327.35,16403,8538,437999.12,8096,4998
"Acetazolamide ER",Acetazolamide,"Zydus Pharmaceu",3473330.98,29130,14029,775713.6,7849,4827,412605.84,3283,1820,1636985.71,15766,7671,2320436.76,20504,9980
"Acetazolamide ER",Acetazolamide,"Micro Labs USA,","","","","","","","","","",126293.46,1429,709,1324301.53,14017,5272
"Acetic Acid*","Acetic Acid",Overall,1505691.5,71448,39139,1384295.19,67471,35588,1265933.7,59519,34058,1249347.72,58550,36607,1314179.9,63159,38728
"Acetic Acid*","Acetic Acid","Rising Pharm","","","",58233.73,2279,2099,5456.87,180,156,948.45,32,28,49787.83,1751,1437
"Acetic Acid*","Acetic Acid",B.Braun,43188.85,4572,1237,53852.22,5259,1587,87018.7,7492,2235,81833.99,6647,2111,138110.21,10553,3276
"Acetic Acid*","Acetic Acid","Hospira/Icu Med",284434.66,14841,3632,329339,17033,3962,167819.41,8667,2578,31515.98,1648,660,665.1,19,""
"Acetic Acid*","Acetic Acid","Hi-Tech/Akorn C",480431.98,18560,15016,549939.65,21758,18118,556408.95,21568,17638,485125.39,19375,15759,459616.45,18468,15091
"Acetic Acid*","Acetic Acid","Trupharma, LLC.","","","","","","",79658.7,2817,2552,199424.8,7327,6242,259477.78,10383,9069
"Acetic Acid*","Acetic Acid","Baxter Healthca",144508.04,11934,3293,131401.76,10996,3112,113042.7,9182,2911,150412.73,11921,3505,177529.77,12876,4093
"Acetic Acid*","Acetic Acid","Morton Grove Ph",553127.97,21541,17690,261528.83,10146,8916,256528.37,9613,7829,300086.38,11600,9357,228992.76,9109,7641
Acetylcysteine*,Acetylcysteine,Overall,2092216.58,24093,6766,1981662.68,28050,7361,1746725.77,20886,5149,1595936.67,16659,4039,1823301.43,17333,4323
Acetylcysteine*,Acetylcysteine,Perrigo/Padagis,402533.84,728,286,153754.04,366,132,165831.72,234,76,157259.07,193,61,122840.92,241,82
Acetylcysteine*,Acetylcysteine,"Fresenius Kabi*",51600.21,127,56,31442.39,67,32,26718.76,411,151,12101.01,330,122,38451.73,651,271
Acetylcysteine*,Acetylcysteine,Hospira/Pfizer,356230.36,11378,3395,452412.58,14755,4098,322745.03,9196,2578,146652.01,4080,1393,38271.95,1061,416
Acetylcysteine*,Acetylcysteine,"Sagent Pharmace","","","",9337.96,22,11,11082.2,37,"",7641.06,66,14,9130.88,123,13
Acetylcysteine*,Acetylcysteine,Auromedics-Eugi,48903.26,99,36,24495.12,91,26,20379.86,66,25,44968.55,61,22,135166.06,121,53
Acetylcysteine*,Acetylcysteine,"Amer. Regent",730470.03,4966,1664,671811.82,4092,1239,621902.12,3746,1035,691934.95,4451,1207,751316.45,4833,1524
Acetylcysteine*,Acetylcysteine,"App/Fresenius K",502478.88,6795,2726,638408.77,8657,2849,578066.08,7196,2326,535380.02,7478,2213,728123.44,10303,3045
Aciphex,"Rabeprazole Sodium",Overall,22178234.16,18579,3781,19678260.33,15888,3324,18095334.51,13926,2940,16176125.3,11451,2504,15875562.32,9439,2140
Aciphex,"Rabeprazole Sodium","Woodward Pharma","","","","","","","","","","","","",4515854.03,2291,1423
Aciphex,"Rabeprazole Sodium","Eisai/ Woodward",22178234.16,18579,3781,19678260.33,15888,3324,18095334.51,13926,2940,16176125.3,11451,2504,11359708.29,7148,2072
Acitretin,Acitretin,Overall,24971062.75,40682,8659,23606030.79,45280,9054,23573809.61,43893,9153,21444442.22,41816,9238,20934136.88,40529,9068
Acitretin,Acitretin,"Teva USA",4598592.73,7276,2038,4265304.76,7117,1960,1508230.98,2389,1093,166954.24,315,115,180620.97,321,158
Acitretin,Acitretin,Avkare,583832.34,1034,368,657387.56,1374,495,567093.51,1268,423,376440.77,904,306,253697.97,567,164
Acitretin,Acitretin,"Prasco Labs",2885523.35,4929,1511,676158.76,1298,668,576828.64,1029,469,153888.69,302,159,6262.17,12,""
Acitretin,Acitretin,"Amneal Pharmace",3763655.63,6515,2100,5283061.92,10155,2750,5394313.03,10422,3033,4432839.4,8938,2378,4406721.77,8278,2177
Acitretin,Acitretin,"Sigmapharm Labo",6332716.47,10143,2721,6034527.99,12606,2812,8898288.13,16758,4242,10352651.29,20144,4792,9918667.86,20303,5023
Acitretin,Acitretin,Mylan,6806742.23,10785,2670,6689589.8,12730,3074,6629055.32,12027,2925,5961667.83,11213,2889,6168166.14,11048,2844
"Actemra Actpen",Tocilizumab,Overall,"","","",17195137.67,4465,1177,56276920.52,14203,2740,93002648.89,24049,4442,126483516.64,32706,5485
"Actemra Actpen",Tocilizumab,"Genentech, Inc.","","","",17195137.67,4465,1177,56276920.52,14203,2740,93002648.89,24049,4442,126483516.64,32706,5485
Actemra*,Tocilizumab,Overall,130523440.19,36098,5786,132676233.62,35738,5446,127856836.18,32917,4668,123904981.19,32334,5123,127758478.59,33653,4885
Actemra*,Tocilizumab,"Genentech, Inc.*",130523440.19,36098,5786,132676233.62,35738,5446,127856836.18,32917,4668,123904981.19,32334,5123,127758478.59,33653,4885
Acthar,Corticotropin,Overall,724638118.93,11907,2475,668892380.25,10968,2102,621884161.43,9857,1668,431097613.87,6667,1158,400387038.54,5913,1007
Acthar,Corticotropin,"Mallinckrodt Ph",724638118.93,11907,2475,668892380.25,10968,2102,621884161.43,9857,1668,431097613.87,6667,1158,400387038.54,5913,1007
Acthib,"Haemoph B Poly Conj-Tet Tox/PF",Overall,27574.35,786,704,44034.23,1132,949,44405.72,1151,953,49583.46,1418,1124,60611.51,1734,1378
Acthib,"Haemoph B Poly Conj-Tet Tox/PF",Sanofi-Pasteur,27574.35,786,704,44034.23,1132,949,44405.72,1151,953,49583.46,1418,1124,60611.51,1734,1378
Actimmune,"Interferon Gamma-1b,Recomb.",Overall,18992801.81,337,53,20879139.7,381,47,23353184.89,417,51,25309639.28,423,50,27310873.39,454,48
Actimmune,"Interferon Gamma-1b,Recomb.","Horizon Therape",18992801.81,337,51,20879139.7,381,47,23353184.89,417,51,25309639.28,423,50,27310873.39,454,48
Activella,"Estradiol/Norethindrone Acet",Overall,"","",255,124105.3,255,210,135010.77,274,78,135284.56,300,57,141956.4,293,63
Activella,"Estradiol/Norethindrone Acet","Amneal Pharmace","","","",124105.3,255,85,135010.77,274,78,135284.56,300,57,141956.4,293,63
Actonel,"Risedronate Sodium",Overall,3671232.33,6597,1445,2907325.96,4581,1064,2358868.74,3568,809,1788277.96,2562,624,1460182.27,2048,492
Actonel,"Risedronate Sodium",Actavis/Allerga,3671232.33,6597,1445,2907325.96,4581,1064,2358868.74,3568,809,1788277.96,2562,624,1460182.27,2048,492
"Actoplus Met","Pioglitazone HCl/Metformin HCl",Overall,461467.05,556,113,374075.5,433,91,312105.56,364,75,203503.89,246,51,140808.93,169,33
"Actoplus Met","Pioglitazone HCl/Metformin HCl","Takeda Pharmace",461467.05,556,113,374075.5,433,91,312105.56,364,75,203503.89,246,51,140808.93,169,33
Actos,"Pioglitazone HCl",Overall,2784260.16,2982,632,2293887.44,2461,546,2092475.64,2035,481,1749928.48,1619,378,1353112.4,1201,302
Actos,"Pioglitazone HCl","Takeda Pharmace",2784260.16,2982,632,2293887.44,2461,546,2092475.64,2035,481,1749928.48,1619,378,1353112.4,1201,302
Acular,"Ketorolac Tromethamine",Overall,89458.99,383,216,73030.12,297,177,92184.89,353,214,64615.68,195,94,48975.95,145,79
Acular,"Ketorolac Tromethamine","Allergan Inc.",89458.99,383,216,73030.12,297,177,92184.89,353,214,64615.68,195,94,48975.95,145,79
"Acular Ls","Ketorolac Tromethamine",Overall,55760.95,183,87,42093.7,128,61,36788.28,124,67,22762.86,66,36,19001.64,52,33
"Acular Ls","Ketorolac Tromethamine","Allergan Inc.",55760.95,183,87,42093.7,128,61,36788.28,124,67,22762.86,66,36,19001.64,52,33
Acuvail,"Ketorolac Tromethamine/PF",Overall,350759.69,774,343,292214.13,587,274,215551.35,392,172,221208.02,381,166,145368.53,264,121
Acuvail,"Ketorolac Tromethamine/PF","Allergan Inc.",350759.69,774,343,292214.13,587,274,215551.35,392,172,221208.02,381,166,145368.53,264,121
"Acyclovir Sodium","Acyclovir Sodium",Overall,77171.15,340,111,62813.01,299,112,53556.56,252,126,36090.15,195,85,55628.09,276,116
"Acyclovir Sodium","Acyclovir Sodium",Auromedics-Eugi,51384.28,230,71,22718.61,133,60,25426.93,140,70,15840.78,105,44,28785.24,161,72
"Acyclovir Sodium","Acyclovir Sodium","Fresenius Kabi",25786.87,110,45,40094.4,166,50,28129.63,112,57,20249.37,90,43,26842.85,115,51
Acyclovir*,Acyclovir,Overall,47901753.84,1794381,674884,57692803.04,1851986,688547,58462575.08,1874373,669360,54648777.95,1827331,660087,52003828.08,1862131,663424
Acyclovir*,Acyclovir,"Quinn Pharmaceu",58205.18,6210,3495,73775.92,7933,3454,153206.62,12278,5648,168405.65,13731,6367,159058.23,10709,4877
Acyclovir*,Acyclovir,"Ranbaxy/Sun Pha",9800.88,794,480,9584.36,711,441,6892.89,541,371,5834.76,409,257,5569.52,378,261
Acyclovir*,Acyclovir,"Major Pharmaceu",8647.93,759,383,11144.19,926,483,8500.36,786,392,12202.48,967,485,10090.67,737,354
Acyclovir*,Acyclovir,"Bionpharma Inc.","","","","","","",27378.92,1544,1455,1601515.91,97666,44928,2581062.29,147826,60558
Acyclovir*,Acyclovir,"Novitium/Ani Ph","","","","","","",114175.21,401,271,543370.82,2205,973,458494.23,1947,914
Acyclovir*,Acyclovir,"Macleods Pharma","","","","","","","","","","","","",4032.71,35,27
